コード	銘柄名	株数	取得単価	現在値	損益	PER	PBR	ROE	配当利回り	自己資本比率	営業利益率	業種	直近材料	情報源
6298	ワイエイシイホールディングス	未保有	対象外	1380	対象外	12.25	1.45	11.81	3.26	38.66	4.98	機械	📉【D】 決算短信訂正と株主提案関連。 【ファンダメンタル確認値】現在値1380、PER12.25、PBR1.45、ROE11.81、配当利回り3.26、自己資本比率38.66、営業利益率4.98 【直近材料補強 2026/06/29】バリュエーション: PER12.25倍は中立圏。 クオリティ: 営業利益率4.98%で採算改善が課題。 株主還元: 配当利回り3.26%でインカム妙味。 セクター材料: 省人化・半導体製造装置・インフラ/資源開発・中国需要がテーマ。受注モメンタムを重視。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6298 / 株探決算:https://kabutan.jp/stock/finance?code=6298
6355	住友精密工業	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	機械	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
6366	千代田化工建設	未保有	対象外	687	対象外	14.84	1.56	10.54	0.00	22.16	16.62	建設業	📉【D】 無配・自己資本比率低め、資料差替。 【ファンダメンタル確認値】現在値687、PER14.84、PBR1.56、ROE10.54、配当利回り0.00、自己資本比率22.16、営業利益率16.62 【直近材料補強 2026/06/29】バリュエーション: PER14.84倍は中立圏。 クオリティ: 営業利益率16.62%で高収益、自己資本比率22.16%で財務レバレッジに注意。 株主還元: 配当利回り0%で還元妙味は弱め。 セクター材料: 国内インフラ更新・再開発・国土強靭化・大型工事採算改善がテーマ。資材/人件費高と受注採算を要確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6366 / 株探決算:https://kabutan.jp/stock/finance?code=6366
6420	フクシマガリレイ	未保有	対象外	3290	対象外	10.66	1.16	10.92	2.71	73.36	12.32	機械	📈【B】 指標良好だが決算短信訂正・監査人異動。 【ファンダメンタル確認値】現在値3290、PER10.66、PBR1.16、ROE10.92、配当利回り2.71、自己資本比率73.36、営業利益率12.32 【直近材料補強 2026/06/29】バリュエーション: PER10.66倍は中立圏。 クオリティ: 自己資本比率73.36%で財務安全性高め。 セクター材料: 省人化・半導体製造装置・インフラ/資源開発・中国需要がテーマ。受注モメンタムを重視。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6420 / 株探決算:https://kabutan.jp/stock/finance?code=6420
6460	セガサミーホールディングス	未保有	対象外	2175	対象外	13.56	1.24	9.16	2.53	56.53	9.67	機械	📈【B】 決算・経営体制。 【ファンダメンタル確認値】現在値2175、PER13.56、PBR1.24、ROE9.16、配当利回り2.53、自己資本比率56.53、営業利益率9.67 【直近材料補強 2026/06/29】バリュエーション: PER13.56倍は中立圏。 セクター材料: 省人化・半導体製造装置・インフラ/資源開発・中国需要がテーマ。受注モメンタムを重視。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6460 / 株探決算:https://kabutan.jp/stock/finance?code=6460
6501	日立製作所	未保有	対象外	4478	対象外	23.71	3.07	12.94	1.12	43.67	11.33	電気機器	📈【A】 Investor Day 2026、中計関連。 【ファンダメンタル確認値】現在値4478、PER23.71、PBR3.07、ROE12.94、配当利回り1.12、自己資本比率43.67、営業利益率11.33 【直近材料補強 2026/06/29】バリュエーション: PER23.71倍は中立圏、PBR3.07倍で資産面の割安感は薄い。 クオリティ: ROE12.94%で資本効率は強め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6501 / 株探決算:https://kabutan.jp/stock/finance?code=6501
6502	東芝	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	電気機器	➖【C】 上場廃止済み。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
6503	三菱電機	未保有	対象外	5858	対象外	25.24	2.67	10.59	0.94	60.95	7.35	電気機器	📈【B】 IR Day材料、決算短信訂正。 【ファンダメンタル確認値】現在値5858、PER25.24、PBR2.67、ROE10.59、配当利回り0.94、自己資本比率60.95、営業利益率7.35 【直近材料補強 2026/06/29】バリュエーション: PER25.24倍で期待先行/割高感に注意、PBR2.67倍で資産面の割安感は薄い。 クオリティ: 自己資本比率60.95%で財務安全性高め。 株主還元: 配当利回り0.94%で還元妙味は弱め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6503 / 株探決算:https://kabutan.jp/stock/finance?code=6503
6506	安川電機	未保有	対象外	6810	対象外	37.58	3.65	9.72	1.06	59.52	8.73	電気機器	➖【C】 FA・ロボット関連だがPER高め。 【ファンダメンタル確認値】現在値6810、PER37.58、PBR3.65、ROE9.72、配当利回り1.06、自己資本比率59.52、営業利益率8.73 【直近材料補強 2026/06/29】バリュエーション: PER37.58倍で期待先行/割高感に注意、PBR3.65倍で資産面の割安感は薄い。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6506 / 株探決算:https://kabutan.jp/stock/finance?code=6506
6645	オムロン	未保有	対象外	5612	対象外	40.13	1.32	3.29	1.85	55.13	7.81	電気機器	📈【B】 TOB材料ありだがROE低い。 【ファンダメンタル確認値】現在値5612、PER40.13、PBR1.32、ROE3.29、配当利回り1.85、自己資本比率55.13、営業利益率7.81 【直近材料補強 2026/06/29】バリュエーション: PER40.13倍で期待先行/割高感に注意。 クオリティ: ROE3.29%で資本効率改善待ち。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6645 / 株探決算:https://kabutan.jp/stock/finance?code=6645
6701	日本電気	未保有	対象外	3795	対象外	18.63	2.29	12.30	1.05	49.18	10.05	電気機器	📈【A】 2030中計策定。 【ファンダメンタル確認値】現在値3795、PER18.63、PBR2.29、ROE12.30、配当利回り1.05、自己資本比率49.18、営業利益率10.05 【直近材料補強 2026/06/29】バリュエーション: PER18.63倍は中立圏。 クオリティ: ROE12.3%で資本効率は強め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6701 / 株探決算:https://kabutan.jp/stock/finance?code=6701
6702	富士通	未保有	対象外	3199	対象外	17.90	2.74	15.31	1.72	59.56	9.94	電気機器	📈【A】 中長期経営ビジョン2035。 【ファンダメンタル確認値】現在値3199、PER17.90、PBR2.74、ROE15.31、配当利回り1.72、自己資本比率59.56、営業利益率9.94 【直近材料補強 2026/06/29】バリュエーション: PER17.9倍は中立圏、PBR2.74倍で資産面の割安感は薄い。 クオリティ: ROE15.31%で資本効率は強め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6702 / 株探決算:https://kabutan.jp/stock/finance?code=6702
6724	セイコーエプソン	未保有	対象外	2692	対象外	14.62	1.01	6.91	2.97	55.61	3.51	電気機器	📉【D】 減損損失・業績予想差異。 【ファンダメンタル確認値】現在値2692、PER14.62、PBR1.01、ROE6.91、配当利回り2.97、自己資本比率55.61、営業利益率3.51 【直近材料補強 2026/06/29】バリュエーション: PER14.62倍は中立圏。 クオリティ: 営業利益率3.51%で採算改善が課題。 直近イベント解釈: 業績悪化/減損系のネガティブ材料。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6724 / 株探決算:https://kabutan.jp/stock/finance?code=6724
6741	日本信号	未保有	対象外	1590	対象外	9.92	0.87	8.75	3.52	66.39	10.26	電気機器	📈【A】 増配修正履歴、低PBR・財務安定。 【ファンダメンタル確認値】現在値1590、PER9.92、PBR0.87、ROE8.75、配当利回り3.52、自己資本比率66.39、営業利益率10.26 【直近材料補強 2026/06/29】バリュエーション: PER9.92倍で利益面は割安寄り、PBR0.87倍でPBR1倍割れ改善余地。 クオリティ: 自己資本比率66.39%で財務安全性高め。 株主還元: 配当利回り3.52%でインカム妙味、既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視、配当継続性を確認しつつインカム枠で比較可能。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6741 / 株探決算:https://kabutan.jp/stock/finance?code=6741
6745	ホーチキ	未保有	対象外	2010	対象外	16.66	2.19	13.16	1.99	69.84	11.40	電気機器	📈【B】 アジア組織再編、ROE13%台。 【ファンダメンタル確認値】現在値2010、PER16.66、PBR2.19、ROE13.16、配当利回り1.99、自己資本比率69.84、営業利益率11.40 【直近材料補強 2026/06/29】バリュエーション: PER16.66倍は中立圏。 クオリティ: ROE13.16%で資本効率は強め、自己資本比率69.84%で財務安全性高め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6745 / 株探決算:https://kabutan.jp/stock/finance?code=6745
6752	パナソニック　ホールディングス	未保有	対象外	4540	対象外	25.24	2.03	8.06	1.19	51.23	2.94	電気機器	📈【B】 グループ成長戦略。 【ファンダメンタル確認値】現在値4540、PER25.24、PBR2.03、ROE8.06、配当利回り1.19、自己資本比率51.23、営業利益率2.94 【直近材料補強 2026/06/29】バリュエーション: PER25.24倍で期待先行/割高感に注意。 クオリティ: 営業利益率2.94%で採算改善が課題。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6752 / 株探決算:https://kabutan.jp/stock/finance?code=6752
6753	シャープ	未保有	対象外	606	対象外	9.37	1.41	15.00	0.00	19.60	2.57	電気機器	📉【D】 配当0・決算短信訂正。 【ファンダメンタル確認値】現在値606、PER9.37、PBR1.41、ROE15.00、配当利回り0.00、自己資本比率19.60、営業利益率2.57 【直近材料補強 2026/06/29】バリュエーション: PER9.37倍で利益面は割安寄り。 クオリティ: ROE15%で資本効率は強め、営業利益率2.57%で採算改善が課題、自己資本比率19.6%で財務レバレッジに注意。 株主還元: 配当利回り0%で還元妙味は弱め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6753 / 株探決算:https://kabutan.jp/stock/finance?code=6753
6758	ソニーグループ	未保有	対象外	3199	対象外	16.29	2.33	14.29	1.09	51.77	11.60	電気機器	📈【A】 自社株買い・TSMC提携基本合意。 【ファンダメンタル確認値】現在値3199、PER16.29、PBR2.33、ROE14.29、配当利回り1.09、自己資本比率51.77、営業利益率11.60 【直近材料補強 2026/06/29】バリュエーション: PER16.29倍は中立圏。 クオリティ: ROE14.29%で資本効率は強め。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6758 / 株探決算:https://kabutan.jp/stock/finance?code=6758
6788	日本トリム	未保有	対象外	4530	対象外	15.31	1.42	9.27	2.87	65.83	12.17	電気機器	📈【B】 株式報酬制度、指標堅実。 【ファンダメンタル確認値】現在値4530、PER15.31、PBR1.42、ROE9.27、配当利回り2.87、自己資本比率65.83、営業利益率12.17 【直近材料補強 2026/06/29】バリュエーション: PER15.31倍は中立圏。 クオリティ: 自己資本比率65.83%で財務安全性高め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6788 / 株探決算:https://kabutan.jp/stock/finance?code=6788
6844	新電元工業	未保有	対象外	4080	対象外	15.38	0.57	3.72	2.45	50.16	3.38	電気機器	➖【C】 PBR低いがROE弱い。 【ファンダメンタル確認値】現在値4080、PER15.38、PBR0.57、ROE3.72、配当利回り2.45、自己資本比率50.16、営業利益率3.38 【直近材料補強 2026/06/29】バリュエーション: PER15.38倍は中立圏、PBR0.57倍でPBR1倍割れ改善余地。 クオリティ: ROE3.72%で資本効率改善待ち、営業利益率3.38%で採算改善が課題。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6844 / 株探決算:https://kabutan.jp/stock/finance?code=6844
6861	キーエンス	未保有	対象外	77100	対象外	42.00	5.39	13.04	0.71	94.57	50.95	電気機器	📈【B】 超優良だがPER高い。 【ファンダメンタル確認値】現在値77100、PER42.00、PBR5.39、ROE13.04、配当利回り0.71、自己資本比率94.57、営業利益率50.95 【直近材料補強 2026/06/29】バリュエーション: PER42倍で期待先行/割高感に注意、PBR5.39倍で資産面の割安感は薄い。 クオリティ: ROE13.04%で資本効率は強め、営業利益率50.95%で高収益、自己資本比率94.57%で財務安全性高め。 株主還元: 配当利回り0.71%で還元妙味は弱め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6861 / 株探決算:https://kabutan.jp/stock/finance?code=6861
6897	ツインバード工業	未保有	対象外	730	対象外	173.02	1.19	0.69	1.78	66.13	-9.50	電気機器	📉【D】 PER極端に高くROE低い。 【ファンダメンタル確認値】現在値730、PER173.02、PBR1.19、ROE0.69、配当利回り1.78、自己資本比率66.13、営業利益率-9.50 【直近材料補強 2026/06/29】バリュエーション: PER173.02倍で期待先行/割高感に注意。 クオリティ: ROE0.69%で資本効率改善待ち、営業利益率-9.5%で採算改善が課題、自己資本比率66.13%で財務安全性高め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6897 / 株探決算:https://kabutan.jp/stock/finance?code=6897
6952	カシオ計算機	未保有	対象外	1991	対象外	24.20	1.90	7.87	2.26	66.91	8.35	電気機器	📈【A】 自社株買い・消却。 【ファンダメンタル確認値】現在値1991、PER24.20、PBR1.90、ROE7.87、配当利回り2.26、自己資本比率66.91、営業利益率8.35 【直近材料補強 2026/06/29】バリュエーション: PER24.2倍は中立圏。 クオリティ: 自己資本比率66.91%で財務安全性高め。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6952 / 株探決算:https://kabutan.jp/stock/finance?code=6952
6954	ファナック	未保有	対象外	7026	対象外	35.46	3.52	9.91	1.52	89.20	21.42	電気機器	📈【A】 自社株買い終了・消却、財務厚い。 【ファンダメンタル確認値】現在値7026、PER35.46、PBR3.52、ROE9.91、配当利回り1.52、自己資本比率89.20、営業利益率21.42 【直近材料補強 2026/06/29】バリュエーション: PER35.46倍で期待先行/割高感に注意、PBR3.52倍で資産面の割安感は薄い。 クオリティ: 営業利益率21.42%で高収益、自己資本比率89.2%で財務安全性高め。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6954 / 株探決算:https://kabutan.jp/stock/finance?code=6954
6971	京セラ	未保有	対象外	3411	対象外	31.87	1.35	4.22	1.64	71.87	5.71	電気機器	📈【B】 還元/資本政策材料だがROE低め。 【ファンダメンタル確認値】現在値3411、PER31.87、PBR1.35、ROE4.22、配当利回り1.64、自己資本比率71.87、営業利益率5.71 【直近材料補強 2026/06/29】バリュエーション: PER31.87倍で期待先行/割高感に注意。 クオリティ: ROE4.22%で資本効率改善待ち、自己資本比率71.87%で財務安全性高め。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6971 / 株探決算:https://kabutan.jp/stock/finance?code=6971
6976	太陽誘電	未保有	対象外	16780	対象外	116.57	6.09	5.23	0.54	55.95	5.63	電気機器	📉【D】 PER/PBR高くROE低め。 【ファンダメンタル確認値】現在値16780、PER116.57、PBR6.09、ROE5.23、配当利回り0.54、自己資本比率55.95、営業利益率5.63 【直近材料補強 2026/06/29】バリュエーション: PER116.57倍で期待先行/割高感に注意、PBR6.09倍で資産面の割安感は薄い。 クオリティ: ROE5.23%で資本効率改善待ち。 株主還元: 配当利回り0.54%で還元妙味は弱め。 セクター材料: AI/半導体・データセンター・自動車電装・円安がテーマ。在庫調整と受注回復が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=6976 / 株探決算:https://kabutan.jp/stock/finance?code=6976
7003	三井Ｅ＆Ｓホールディングス	未保有	対象外	4088	対象外	13.75	1.80	13.10	1.47	46.32	7.06	機械	📈【A】 Rolling Vision策定、ROE13%。 【ファンダメンタル確認値】現在値4088、PER13.75、PBR1.80、ROE13.10、配当利回り1.47、自己資本比率46.32、営業利益率7.06 【直近材料補強 2026/06/29】バリュエーション: PER13.75倍は中立圏。 クオリティ: ROE13.1%で資本効率は強め。 セクター材料: 省人化・半導体製造装置・インフラ/資源開発・中国需要がテーマ。受注モメンタムを重視。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7003 / 株探決算:https://kabutan.jp/stock/finance?code=7003
7012	川崎重工業	未保有	対象外	2836	対象外	21.55	2.70	12.53	1.41	26.41	5.46	輸送用機器	📈【A】 増配、防衛・航空宇宙関連。 【ファンダメンタル確認値】現在値2836、PER21.55、PBR2.70、ROE12.53、配当利回り1.41、自己資本比率26.41、営業利益率5.46 【直近材料補強 2026/06/29】バリュエーション: PER21.55倍は中立圏、PBR2.7倍で資産面の割安感は薄い。 クオリティ: ROE12.53%で資本効率は強め。 株主還元: 既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: 円安・北米需要・EV/HEV・認証/品質問題がテーマ。販売台数とマージンを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7012 / 株探決算:https://kabutan.jp/stock/finance?code=7012
7102	日本車輌製造	未保有	対象外	3255	対象外	6.26	0.57	9.12	1.54	53.91	11.62	輸送用機器	📈【B】 低PER・PBR低い。 【ファンダメンタル確認値】現在値3255、PER6.26、PBR0.57、ROE9.12、配当利回り1.54、自己資本比率53.91、営業利益率11.62 【直近材料補強 2026/06/29】バリュエーション: PER6.26倍で利益面は割安寄り、PBR0.57倍でPBR1倍割れ改善余地。 セクター材料: 円安・北米需要・EV/HEV・認証/品質問題がテーマ。販売台数とマージンを確認。 次回チェック: 割安×ROEのバランスが良く、押し目候補として優先監視。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7102 / 株探決算:https://kabutan.jp/stock/finance?code=7102
7182	ゆうちょ銀行	未保有	対象外	3210	対象外	17.32	1.24	7.16	2.90	4.07	対象外	銀行業	📈【A】 中計と配当予想。銀行業の営業利益率は対象外。 【ファンダメンタル確認値】現在値3210、PER17.32、PBR1.24、ROE7.16、配当利回り2.90、自己資本比率4.07、営業利益率対象外 【扱い】銀行業のため営業利益率は単純比較対象外 【直近材料補強 2026/06/29】バリュエーション: PER17.32倍は中立圏。 クオリティ: 自己資本比率4.07%で財務レバレッジに注意。 セクター材料: 金利上昇・利ざや改善・政策保有株売却・還元強化がテーマ。債券含み損と与信費用を確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7182 / 株探決算:https://kabutan.jp/stock/finance?code=7182
7212	エフテック	未保有	対象外	637	対象外	14.79	0.20	1.38	3.14	31.83	2.88	輸送用機器	📉【D】 PBR0.20・増配だがROE低い。 【ファンダメンタル確認値】現在値637、PER14.79、PBR0.20、ROE1.38、配当利回り3.14、自己資本比率31.83、営業利益率2.88 【直近材料補強 2026/06/29】バリュエーション: PER14.79倍は中立圏、PBR0.2倍でPBR1倍割れ改善余地。 クオリティ: ROE1.38%で資本効率改善待ち、営業利益率2.88%で採算改善が課題。 株主還元: 配当利回り3.14%でインカム妙味、既存材料に明示的な還元関連の記載あり、継続性を確認。 セクター材料: 円安・北米需要・EV/HEV・認証/品質問題がテーマ。販売台数とマージンを確認。 次回チェック: PBR1倍割れでもROE低めのため、資本効率改善策が出るか確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7212 / 株探決算:https://kabutan.jp/stock/finance?code=7212
7220	武蔵精密工業	未保有	対象外	4530	対象外	45.68	2.43	5.33	0.88	40.46	5.92	輸送用機器	📉【D】 新規受注あるが割高感。 【ファンダメンタル確認値】現在値4530、PER45.68、PBR2.43、ROE5.33、配当利回り0.88、自己資本比率40.46、営業利益率5.92 【直近材料補強 2026/06/29】バリュエーション: PER45.68倍で期待先行/割高感に注意。 クオリティ: ROE5.33%で資本効率改善待ち。 株主還元: 配当利回り0.88%で還元妙味は弱め。 セクター材料: 円安・北米需要・EV/HEV・認証/品質問題がテーマ。販売台数とマージンを確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7220 / 株探決算:https://kabutan.jp/stock/finance?code=7220
7272	ヤマハ発動機	未保有	対象外	1260	対象外	12.23	1.05	8.60	3.97	37.67	4.99	輸送用機器	📈【B】 配当3.97、決算・格付中心。 【ファンダメンタル確認値】現在値1260、PER12.23、PBR1.05、ROE8.60、配当利回り3.97、自己資本比率37.67、営業利益率4.99 【直近材料補強 2026/06/29】バリュエーション: PER12.23倍は中立圏。 クオリティ: 営業利益率4.99%で採算改善が課題。 株主還元: 配当利回り3.97%でインカム妙味。 セクター材料: 円安・北米需要・EV/HEV・認証/品質問題がテーマ。販売台数とマージンを確認。 次回チェック: 次回決算・月次・受注/既存店などの先行指標で材料更新を確認。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7272 / 株探決算:https://kabutan.jp/stock/finance?code=7272
7309	シマノ	未保有	対象外	17700	対象外	36.26	1.76	4.85	2.05	92.45	14.43	輸送用機器	📈【B】 自己株式取得状況、財務厚いがROE低め。 【ファンダメンタル確認値】現在値17700、PER36.26、PBR1.76、ROE4.85、配当利回り2.05、自己資本比率92.45、営業利益率14.43 【直近材料補強 2026/06/29】バリュエーション: PER36.26倍で期待先行/割高感に注意。 クオリティ: ROE4.85%で資本効率改善待ち、自己資本比率92.45%で財務安全性高め。 直近イベント解釈: M&A/提携による成長・再編材料。 セクター材料: 円安・北米需要・EV/HEV・認証/品質問題がテーマ。販売台数とマージンを確認。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7309 / 株探決算:https://kabutan.jp/stock/finance?code=7309
7412	アトム	未保有	対象外	387	対象外	74743.73	20.31	0.03	0.00	25.35	0.08	小売業	📉【D】 優待変更・特損、投資指標は厳しい。 【ファンダメンタル確認値】現在値387、PER74743.73、PBR20.31、ROE0.03、配当利回り0.00、自己資本比率25.35、営業利益率0.08 【直近材料補強 2026/06/29】バリュエーション: PER74743.7倍で期待先行/割高感に注意、PBR20.31倍で資産面の割安感は薄い。 クオリティ: ROE0.03%で資本効率改善待ち、営業利益率0.08%で採算改善が課題。 株主還元: 配当利回り0%で還元妙味は弱め。 直近イベント解釈: 優待関連の個人投資家需給材料。 セクター材料: インバウンド・値上げ・PB/EC・人件費がテーマ。既存店売上と粗利率が焦点。 次回チェック: 高PERを正当化する成長材料が追加で必要。	IRBANK/株探/会社IR / 株探ニュース:https://kabutan.jp/stock/news?code=7412 / 株探決算:https://kabutan.jp/stock/finance?code=7412
7448	ジーンズメイト	未保有	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	対象外	小売業	➖【C】 上場廃止/銘柄整理対象。 【ファンダメンタル確認値】現在値対象外、PER対象外、PBR対象外、ROE対象外、配当利回り対象外、自己資本比率対象外、営業利益率対象外 【扱い】現行の通常上場株としての比較対象外 【追加確認】通常の上場株比較からは除外候補。ランキング投入時は「投資対象外/参考扱い」とし、代替上場銘柄を確認。	IRBANK/株探/会社IR
